,index,resEnergy,nHubs,startTime,endTime
22320,69,56.3927706747175,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22321,70,56.3250071798757,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22322,71,56.3488239775586,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22323,72,57.9148385511385,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22324,73,57.604700723748,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22325,74,57.229803639295,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22326,75,57.4527864067258,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22327,76,57.6561892704157,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22328,77,57.6561892704157,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22329,78,58.7219674362746,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22330,79,58.925625929665,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22331,80,58.2212824502066,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22332,81,58.0210741556379,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22333,82,57.8664154850974,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22334,83,56.2143493926098,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22335,84,56.5661976790208,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22336,85,58.221325421687,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22337,86,57.6026840948035,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22338,87,53.8603515903335,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22339,88,53.8650505463454,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22340,89,53.5517041317132,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22341,90,53.6818084141125,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22342,91,53.9600688180406,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22343,92,54.2695131152993,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22344,93,54.7523063502163,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22345,94,54.7157742742314,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22346,95,54.9788161051464,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22347,96,54.6854875780616,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22348,97,54.3227532370889,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22349,98,53.3428234581746,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22350,99,53.4865970909794,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22351,100,53.7525883666491,30,2023-04-27 08:56:56,2023-04-27 22:24:16
22352,101,54.0087873469677,30,2023-04-27 08:56:56,2023-04-27 22:24:16
